CMDLINE C:\Users\alice\AppData\Local\Programs\Python\Python310\python.exe run-burgers.py
MEM 1.593750 1682631349.9088
MEM 12.308594 1682631350.0204
MEM 18.761719 1682631350.1310
MEM 26.718750 1682631350.2426
MEM 33.562500 1682631350.3522
MEM 41.679688 1682631350.4640
MEM 47.640625 1682631350.5757
MEM 51.242188 1682631350.6864
MEM 54.992188 1682631350.7981
MEM 60.523438 1682631350.9096
MEM 61.910156 1682631351.0213
MEM 68.863281 1682631351.1321
MEM 73.292969 1682631351.2437
MEM 77.042969 1682631351.3551
MEM 77.992188 1682631351.4668
MEM 76.988281 1682631351.5779
