CMDLINE C:\Users\alice\AppData\Local\Programs\Python\Python310\python.exe benchmarkedBurgers.py
MEM 1.593750 1682631370.7644
MEM 12.574219 1682631370.8785
MEM 20.113281 1682631370.9894
MEM 26.824219 1682631371.1002
MEM 33.320312 1682631371.2108
MEM 41.953125 1682631371.3211
MEM 47.867188 1682631371.4328
MEM 51.718750 1682631371.5430
MEM 55.390625 1682631371.6541
MEM 60.632812 1682631371.7637
MEM 62.015625 1682631371.8754
MEM 68.910156 1682631371.9862
MEM 73.503906 1682631372.0975
MEM 76.750000 1682631372.2087
MEM 77.832031 1682631372.3204
MEM 77.070312 1682631372.4294
